Report no.,Category,Title [text],Author [text],Year,Description [text],Project type [options],Targeted user [text],Findings (What conclusions were drawn from the research?) [text],Outputs (How were the findings applied?) [text],Challenges the project faced [text],What kind of budget was it? [text],What methods were used? [text],Methods [options],Methods [options],Website / Links to videos [link],Partner/Sponsor [text],Connections to other projects [text],Contact details [text]
11,City and community,e-scape: digital business incubators for social regeneration,Jennifer Brown,2001,This study examined the urban infrastructure and workplace needs of technology start-up companies.,Policy guidelines,companies,"categorised business incubators into the following types: community, commerical, innovation, internet, live work, which differ in their relationships with the startup, e.g. internet incubators provide cheap support packages which can be provided via the internet whereas innovation incubators are larger companies which invite small start-ups into their offices to exchange business expertise for innovation","contributed to Tower Hamlets regeneration strategy, in particular to proposals for the site of Poplar Baths",,,"conferences, observation, case studies","Conferences, Observation, Literature Review","Observation, Desk Research",,"Gestetner in a consortium with Geoffrey Reid Associates, GMW Partnership, Jones Lang LaSalle, Peabody Trust and Roneo Office Systems",15,https://www.linkedin.com/in/jennifer-brown-8b069771/
54,City and community,Light.urban.landscape: Lighting strategies for regenerating the city,Harry Dobbs,2002,This study looked at the role of public lighting in regenerating complex urban areas in order to develop a set of guidelines on how to approach urban lighting with consideration given to the wider cultural context of the city.,Design guidelines,urban communities,uncovered a complex range of issues and agendas that are inherent within our central urban fabric which illustated the need for a coherent approach with which to handle them,"a set of guidelines for lighting to support urban regeneration, divided into marketing, art and landscape phases to inform Targetti's development and marketing of products and services as well as action for any local authority engaged in urban regeneration",,190000 for Research wayfinding project,"interviews, case studies, surveys","Interviews, Literature Review, Surveys","Individual Interviews, Desk Research",,Targetti,,https://www.linkedin.com/in/harrydobbsdesign/
36,Health and wellbeing,Ambulance Design for Patient Safety: towards a national ambulance fleet Future ambulances,Roger Coleman; Dale Harrow; Evans Owen; Merih Kunur; Sally Halls,2006,This project investigates the developing needs of service provision and the short and long term requirements of vehicles and equipment that will be needed to address the concerns of patient and staff safety in the future in the Ambulance Service and recommends primary considerations for emergency care vehicles and equipment.,Design guidelines,ambulance designers,"there is a lack of consistency in ambulance design which reduces efficiency; there is a strong desire for standardisation in design of ambulances; the composition of ambulance fleets is changing due to improved response systems, increased care and provision of a wider range of services, leading to a requirement for three core vehicle types",identified nine design challenges and expanded these into a series of performance requirements; established a three stage design direction; design ideas for the core vehicles,there was a divergence between the National Reporting and Learning System data and the incidents reported by individual trusts used by researchers to provide the framework for workshop discussion,,"literary research, workshops","Literature Review, Workshops","Workshops, Desk Research",,National Patient Safety Agency,,
37,Health and wellbeing,Reading the signs: wayfinding for dementia,Lottie Crumbleholme,2013,This study looks at how residents living with dementia find their way around in Bupa care homes and makes recommendations for improving signage.,Design guidelines,carehome designers,signage should not be thought about in isolation but in the context of its environment including considering aspects of interior design as well as what life is like in the homes day to day,a set of guidelines for designing carehomes to support residents living with dementia in finding their way around,,,,"Interviews, Observation, Workshops","Individual Interviews, Observation, Workshops",,Bupa UK,,
206,Work and workplace,Work well: Inclusive furniture for older office workers,Jeremy Gay,2005,This project found and illustrated areas of opportunity in the design of work furniture for older users and developed inclusive new concepts as exemplars that address the specific needs and desires of an ageing workforce.,Design Concepts,older workers,"older workers often feel unable to change aspects of their immediate environment that are important to them, are made victims of simple usability problems, fail to use work furniture properly and maintain good work habits, are more likely to hot desk, often work outside the office in places with inadequate facilities, are adopting more mobile working habits that can have adverse consquences on their health and well-being, are interested in health issues and open to innovation in this area, are hindered in the adoption of more healthy working habits by lack of provision of amenities, see sharing knowledge as one of the key ways to connect with people in the workplace","design ideas: CASTRO, a meeting table for up to five people that allows greater control over the immediate environment; AQUA, a translucent screen system for acoustic and visual control in open plan work settings; STRETCH, a series of stacking chairs that visually prompt more active working habits; NEMES, an under-desk pedestal for user customisation in hot-desking settings; HEMET, a furniture unit which supports offers working facilities for public spaces; MOTORO, a micro workstation and travel case; PRESENCE, a device for use with any task chair providing proactive healthcare information at work through simple user sensing abilities; ASAS, a circular, modular seating system for adding a multi-functional amenity area to space-restricted workplaces; PLATO, a multi-functional concept for temporary learning and teamwork settings",,,"observation, interviews, questionnaires","Observation, Interviews","Individual Interviews, Observation",,Kinnarps,,
186,Mobility and Transport,The abilizer: aiding rehabilitation for disabled people,Judith Anderson,2000,"This project follows the research and development (from concept to manufacture) of a wheelchair-mounted support system, which enables users to stand and balance in social situations.",Physical prototypes,wheelchair users,"there are important clinical reasons as well as social impact of being able to stand - impacts of this are huge. so creating a device that allows wheelchair users to engage in standing, further feasibility was. also analysed - manufacturing and implimentation issues",3 Iterative prototypes of the Abilizer concept were produced and tested with users.,"Financial difficulties meant that the final 3rd prototype was unable to be manufactured, meaning key features were missing for some user testing.",,"user testing, literary + market research","User Testing, Literature Review, Market Research","Workshops, Desk Research",,The Laura Ashley Foundation,,
98,Mobility and Transport,Urban moving 2030 transport typologies for the future,Shaun Hutchinson,2001,"This study imagines the future of personal vehicles based on ideas of autonomous technology, mobility on demand, and handheld connectivity devices to engage with communal mobility vehicles.",Business model,"public transport users, city inhabitants","establishes 4 mobility categories:  commuting, entertainment seeking, dwelling, area visiting. ","Each with their own vehicle archetype and adaptations, serving purposes from customised driverless last mile transport to driving for entertainment.",,,scenarios,Scenarios,Scenarios,,Ford Motor Company,,
152,Transport,Process to pleasure: instinctive wayfinding at Heathrow airport,Karen Adcock; Carl Turner,2000,"This study propses a new 'sensory landscape'' within Heathrow Terminal 5, which aims to make the scale of the building more human and manageable for all ages and abilities.",Design Concepts,Heathrow airport passengers,"Series of design proposals developed to help both users and staff to 'manage the scale of the building'. mapping of sensory landscape. primary issues identified - creating sense of location within space, engagement with space in non-functional cases, assisting wayfinding - though generated through special needs analysis were then applicable to all",several concepts created to tackle issues with information display and information arch idea taken forward for further development ( next year's report),,,"observation + background research, user testing, design scenarios, physical modelling, mapping","Observation, Literature Review, User Testing, Scenarios, Prototyping, Mapping","Observation, Scenarios, Mapping, Focus Groups, Desk Research",,BAA plc,"1, 3",
